timestamp	session	branch	commit	route	load_time_ms	delta_ms	status	optimization	files_changed	notes
2026-05-07T20:38:09-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	15835	12925	discard	parallelize checkout location queries	apps/web/lib/checkout-locations.ts	playwright passed; slower than current best; source reverted
2026-05-07T20:40:01-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	12600	9690	discard	split checkout auth action bundle	apps/web/app/[locale]/(checkout)/buy/[commerceSlug]/[productLinkSlug]/product-link-checkout-client.tsx	
2026-05-07T20:40:01-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	13165	10255	discard	split checkout auth action bundle	apps/web/app/[locale]/(checkout)/buy/[commerceSlug]/[productLinkSlug]/product-link-checkout-client.tsx	
2026-05-07T20:44:51-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	14549	11639	current	current checkout load-time measurement	none	recorded current checkout LOAD_TIME_MS
2026-05-09T15:07:10-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	19409	16499	discard	lazy-mount mobile checkout summary drawer	packages/design-system/components/checkout/checkout-order-summary-panel.tsx	playwright passed; slower than best kept run; source reverted
2026-05-09T15:08:23-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	19505	16595	discard	prioritize checkout product image	packages/design-system/components/checkout/checkout-product-media.tsx	playwright passed; slower than best kept run; source reverted
2026-05-09T15:15:35-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	3716	-10833	keep	parallelize checkout server reads and serialize page-load evaluation	apps/web/app/[locale]/(checkout)/buy/[commerceSlug]/[productLinkSlug]/page.tsx;apps/web/lib/checkout-locations.ts;apps/web/playwright.config.ts;apps/web/vitest.config.mts	playwright passed; checkout under 7s; web tests passed; check/build blocked by unrelated repo issues
2026-05-09T15:24:16-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	6243	2527	current	current checkout load-time measurement	none	fresh baseline before new experiment; evaluate passed
2026-05-09T15:28:09-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	4493	-1750	keep	lazy-load unused checkout fallback auth modal	packages/design-system/components/checkout/checkout-page.tsx	playwright passed; improved fresh baseline
2026-05-09T15:28:09-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	5620	-623	discard	lazy-load delivery and payment step sections	packages/design-system/components/checkout/checkout-progressive-flow.tsx	playwright passed; slower than auth-only run; source reverted
2026-05-09T15:29:53-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	7338	1095	discard	optimize lucide package imports	packages/next-config/index.ts	playwright passed; slower than fresh baseline; source reverted
2026-05-09T15:36:24-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	10979	4736	discard	split checkout auth action modal and menu	apps/web/app/[locale]/(checkout)/buy/[commerceSlug]/[productLinkSlug]/checkout-auth-action.tsx;apps/web/app/[locale]/(checkout)/buy/[commerceSlug]/[productLinkSlug]/checkout-auth-modal.tsx;apps/web/app/[locale]/(checkout)/buy/[commerceSlug]/[productLinkSlug]/checkout-account-menu.tsx	playwright rerun passed; slower than fresh baseline; source reverted
2026-05-09T15:40:00-03:00	may7-checkout-load	codex/web-loadtime-may7-checkout-load	uncommitted	/es/buy/tutienda/campera-tutienda	4995	-1248	keep	lazy-load unused checkout fallback auth modal	packages/design-system/components/checkout/checkout-page.tsx	clean dev-server rerun; evaluate passed; web tests passed; check/typecheck blocked by unrelated existing issues
